Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding ,Flooding,1980-04-10,1980-04-17,2487.8,7
Hurricane Allen ,Tropical Cyclone,1980-08-07,1980-08-11,2076.8,13
Central/Eastern Drought/Heatwave ,Drought,1980-06-01,1980-11-30,35270.4,1260
Florida Freeze ,Freeze,1981-01-12,1981-01-14,1796.1,0
"Severe Storms, Flash Floods, Hail, Tornadoes ",Severe Storm,1981-05-05,1981-05-10,1260.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave ",Winter Storm,1982-01-08,1982-01-16,1920.2,85
Midwest/Plains/Southeast Tornadoes ,Severe Storm,1982-04-02,1982-04-04,1401.8,33
Severe Storms ,Severe Storm,1982-05-31,1982-06-10,1391.8,30
Gulf States Storms and Flooding ,Flooding,1982-12-01,1983-01-15,4454.6,45
Western Storms and Flooding ,Flooding,1982-12-13,1983-03-31,4348.9,50
Hurricane Alicia ,Tropical Cyclone,1983-08-17,1983-08-20,8400.0,21
Southeast Drought ,Drought,1983-06-01,1983-08-31,8299.4,0
Freeze / Coldwave ,Freeze,1983-12-15,1983-12-25,5616.2,151
"Tornadoes, Severe Storms, Floods ",Severe Storm,1984-03-27,1984-04-07,1616.2,80
Severe Storms and Hail ,Severe Storm,1984-06-13,1984-06-17,1195.8,1
Florida Freeze ,Freeze,1985-01-20,1985-01-22,3108.0,0
"Winter Storm, Cold Wave ",Winter Storm,1985-01-19,1985-01-22,2168.0,150
Hurricane Elena ,Tropical Cyclone,1985-08-30,1985-09-03,3360.3,4
Hurricane Gloria ,Tropical Cyclone,1985-09-26,1985-09-28,2217.2,11
Hurricane Juan ,Tropical Cyclone,1985-10-27,1985-10-31,3876.5,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding ",Flooding,1985-11-03,1985-11-08,3514.0,62
Western Severe Storms and Flooding ,Severe Storm,1986-02-14,1986-02-16,1324.6,13
Southeast Drought/Heatwave ,Drought,1986-06-01,1986-08-31,4509.1,100
U.S. Drought/Heatwave ,Drought,1988-06-01,1988-08-31,47209.2,454
Severe Storms ,Severe Storm,1989-05-01,1989-05-06,1246.4,21
Hurricane Hugo ,Tropical Cyclone,1989-09-21,1989-09-22,20339.8,86
Northern Plains Drought ,Drought,1989-06-01,1989-11-30,6787.1,0
Florida Freeze ,Freeze,1989-12-23,1989-12-25,4520.0,10
"Winter Storm, Cold Wave ",Winter Storm,1989-12-21,1989-12-26,1537.2,100
Southern Flooding ,Flooding,1990-05-11,1990-05-19,2164.9,13
Colorado Hail Storm ,Severe Storm,1990-07-11,1990-07-11,1763.1,0
California Freeze ,Freeze,1990-12-18,1990-12-25,7310.0,0
"Severe Storms, Tornadoes ",Severe Storm,1991-03-26,1991-03-29,1309.6,0
Hurricane Bob ,Tropical Cyclone,1991-08-18,1991-08-20,3050.9,18
U.S. Drought ,Drought,1991-03-01,1991-08-31,6107.4,0
Oakland Firestorm ,Wildfire,1991-10-01,1991-10-31,6699.0,25
Severe Storms ,Severe Storm,1992-03-24,1992-03-25,1592.5,0
"Hail, Tornadoes ",Severe Storm,1992-04-28,1992-04-29,1889.7,0
"Severe Storms, Hail ",Severe Storm,1992-06-19,1992-06-20,1481.1,0
Hurricane Andrew ,Tropical Cyclone,1992-08-23,1992-08-27,53460.0,61
Hurricane Iniki ,Tropical Cyclone,1992-09-11,1992-09-12,6138.0,7
Southeast Severe Weather ,Severe Storm,1992-11-21,1992-11-23,1300.9,26
Northeast Winter Storm ,Winter Storm,1992-12-10,1992-12-13,4916.3,19
East Coast Blizzard and Severe Weather ,Winter Storm,1993-03-11,1993-03-14,10611.8,270
Northern Plains and Ohio Valley Severe Weather ,Severe Storm,1993-07-08,1993-07-10,1217.2,1
Midwest Flooding ,Flooding,1993-06-27,1993-08-15,40244.9,48
Southeast Drought and Heat Wave ,Drought,1993-06-01,1993-08-31,2415.2,16
California Wildfires ,Wildfire,1993-09-01,1993-11-30,2633.3,4
"Winter Storm, Cold Wave ",Winter Storm,1994-01-17,1994-01-20,1944.6,70
Southeast Ice Storm ,Winter Storm,1994-02-08,1994-02-13,5605.2,9
Midwest/Plains Tornadoes ,Severe Storm,1994-04-25,1994-04-27,1842.1,3
Tropical Storm Alberto ,Tropical Cyclone,1994-07-07,1994-07-10,1867.2,32
Texas Flooding ,Flooding,1994-10-16,1994-10-25,1870.0,19
Western Fire Season ,Wildfire,1994-06-01,1994-11-30,1355.9,0
California Flooding ,Flooding,1995-01-01,1995-03-31,4550.0,27
South Plains Severe Weather ,Severe Storm,1995-05-05,1995-05-07,9985.4,32
Hurricane Erin ,Tropical Cyclone,1995-08-01,1995-08-07,1547.0,6
Hurricane Marilyn ,Tropical Cyclone,1995-09-15,1995-09-17,3822.0,13
"Central, Southern and Northeast Drought/Heatwave ",Drought,1995-07-01,1995-09-30,1761.8,872
Hurricane Opal ,Tropical Cyclone,1995-10-04,1995-10-06,8534.0,27
Blizzard/Floods ,Winter Storm,1996-01-01,1996-01-31,5315.2,187
Pacific Northwest Severe Flooding ,Flooding,1996-02-07,1996-02-12,1784.7,9
Southern Plains Drought ,Drought,1996-03-01,1996-08-31,3170.9,0
Hurricane Fran ,Tropical Cyclone,1996-09-05,1996-09-08,8862.4,37
West Coast Flooding ,Flooding,1997-01-01,1997-01-11,5189.3,36
Mississippi and Ohio Valley Severe Weather and Flooding ,Severe Storm,1997-02-28,1997-03-05,1681.6,67
Northern Plains Flooding ,Flooding,1997-02-03,1997-05-24,6323.6,11
Northeast Ice Storm ,Winter Storm,1998-01-05,1998-01-09,2369.1,16
Western/Eastern Severe Weather and Flooding ,Severe Storm,1997-12-01,1998-02-28,1727.7,132
Minnesota Severe Storms/Hail ,Severe Storm,1998-05-15,1998-05-15,2756.8,1
"Severe Storms, Tornadoes ",Severe Storm,1998-05-30,1998-06-02,1923.7,20
Tropical Storm Frances ,Tropical Cyclone,1998-08-08,1998-08-13,1183.0,2
Hurricane Bonnie ,Tropical Cyclone,1998-08-27,1998-08-29,1656.2,3
Southern Drought and Heat Wave ,Drought,1998-06-01,1998-08-31,5962.4,200
Hurricane Georges ,Tropical Cyclone,1998-09-20,1998-09-29,10113.9,16
Texas Flooding ,Flooding,1998-10-16,1998-10-24,1592.1,31
California Freeze ,Freeze,1998-12-20,1998-12-28,4225.0,0
Central and Eastern Winter Storm ,Winter Storm,1999-01-01,1999-01-04,1724.2,25
Central and Eastern Winter Storm ,Winter Storm,1999-01-13,1999-01-16,1473.0,0
Oklahoma and Kansas Tornadoes ,Severe Storm,1999-05-03,1999-05-06,3360.3,55
Eastern Drought/Heatwave ,Drought,1999-06-01,1999-08-31,4173.2,502
Hurricane Floyd ,Tropical Cyclone,1999-09-14,1999-09-16,10839.9,77
Southeast Winter Storm ,Winter Storm,2000-01-21,2000-01-24,1143.7,4
Southern Severe Weather ,Severe Storm,2000-03-28,2000-03-29,1104.0,0
Western Fire Season ,Wildfire,2000-03-01,2000-08-31,1741.5,0
South Florida Flooding ,Flooding,2000-10-03,2000-10-04,1458.0,3
Western/Central/Southeast Drought/Heatwave ,Drought,2000-03-01,2000-11-30,8095.5,140
Midwest/Ohio Valley Hail and Tornadoes ,Severe Storm,2001-04-06,2001-04-11,4828.0,3
Tropical Storm Allison ,Tropical Cyclone,2001-06-05,2001-06-17,13294.3,43
Severe Storms and Tornadoes ,Severe Storm,2002-04-27,2002-04-28,3224.4,7
Hurricane Lili ,Tropical Cyclone,2002-08-01,2002-08-05,1701.0,2
Tropical Storm Isidore ,Tropical Cyclone,2002-09-25,2002-09-27,1736.5,5
Eastern Tornadoes and Severe Storms ,Severe Storm,2002-11-09,2002-11-11,1087.2,28
Western Fire Season ,Wildfire,2002-09-01,2002-11-30,2037.0,21
U.S. Drought ,Drought,2002-03-01,2002-11-30,13869.9,0
Severe Storms/Hail ,Severe Storm,2003-04-04,2003-04-07,3029.5,3
Severe Storms/Tornadoes ,Severe Storm,2003-05-03,2003-05-10,6233.9,51
Midwest/Plains Severe Weather ,Severe Storm,2003-07-04,2003-07-09,1295.7,7
Severe Weather ,Severe Storm,2003-07-21,2003-07-23,1522.5,7
Hurricane Isabel ,Tropical Cyclone,2003-09-18,2003-09-19,8280.9,55
Western/Central Drought/Heatwave ,Drought,2003-03-01,2003-11-30,7576.7,35
California Wildfires ,Wildfire,2003-09-01,2003-11-30,5874.3,22
"Severe Storms, Hail, Tornadoes ",Severe Storm,2004-05-21,2004-05-27,1500.8,4
Hurricane Charley ,Tropical Cyclone,2004-08-13,2004-08-14,23679.3,35
Hurricane Frances ,Tropical Cyclone,2004-09-03,2004-09-09,14504.0,48
Hurricane Ivan ,Tropical Cyclone,2004-09-12,2004-09-21,30340.8,57
Hurricane Jeanne ,Tropical Cyclone,2004-09-15,2004-09-29,11094.8,28
Southeast Severe Weather ,Severe Storm,2005-03-24,2005-03-27,1237.0,0
Hurricane Dennis ,Tropical Cyclone,2005-07-09,2005-07-11,3567.9,15
Hurricane Katrina ,Tropical Cyclone,2005-08-25,2005-08-30,178792.1,1833
Midwest Drought ,Drought,2005-03-01,2005-08-31,2109.0,0
Hurricane Rita ,Tropical Cyclone,2005-09-20,2005-09-24,26455.1,119
Hurricane Wilma ,Tropical Cyclone,2005-10-24,2005-10-24,27170.0,35
Severe Storms and Tornadoes ,Severe Storm,2006-03-08,2006-03-13,1845.9,10
Midwest/Southeast Tornadoes ,Severe Storm,2006-04-06,2006-04-08,2213.4,10
Midwest Tornadoes ,Severe Storm,2006-04-13,2006-04-16,3344.4,27
Northeast Flooding ,Flooding,2006-06-25,2006-06-28,2099.7,20
Midwest/Plains/Southeast Drought ,Drought,2006-03-01,2006-08-31,8277.0,0
Central Severe Weather ,Severe Storm,2006-10-02,2006-10-05,1213.0,1
Numerous Wildfires ,Wildfire,2006-01-01,2006-12-31,2024.3,28
California Freeze ,Freeze,2007-01-11,2007-01-17,1890.0,1
Spring Freeze ,Freeze,2007-04-04,2007-04-10,2759.8,0
East/South Severe Weather and Flooding ,Severe Storm,2007-04-13,2007-04-17,3385.6,9
Western Wildfires ,Wildfire,2007-06-01,2007-08-31,3700.8,12
Western/Eastern Drought/Heatwave ,Drought,2007-06-01,2007-11-30,4776.9,15
"Western, Central and Northeast Severe Weather ",Severe Storm,2008-01-04,2008-01-09,1276.6,12
Southeast Tornadoes and Severe Weather ,Severe Storm,2008-02-05,2008-02-06,1575.1,57
Southeast Tornadoes ,Severe Storm,2008-03-14,2008-03-15,1470.3,5
Southern Severe Weather ,Severe Storm,2008-04-09,2008-04-11,1351.5,2
Midwest Tornadoes and Severe Weather ,Severe Storm,2008-05-22,2008-05-27,3938.3,13
Midwest/Mid-Atlantic Severe Weather ,Severe Storm,2008-06-06,2008-06-12,2126.8,18
Midwest Flooding ,Flooding,2008-04-01,2008-06-30,12946.0,24
Hurricane Dolly ,Tropical Cyclone,2008-07-23,2008-07-25,1647.4,3
Hurricane Gustav ,Tropical Cyclone,2008-08-31,2008-09-03,7796.1,53
Hurricane Ike ,Tropical Cyclone,2008-09-12,2008-09-14,38998.4,112
U.S. Wildfires ,Wildfire,2008-09-01,2008-11-30,1604.2,16
U.S. Drought ,Drought,2008-01-01,2008-12-31,9112.7,0
Southeast/Ohio Valley Severe Weather ,Severe Storm,2009-02-10,2009-02-11,2262.2,10
Midwest/Southeast Tornadoes ,Severe Storm,2009-03-25,2009-03-28,2132.7,0
South/Southeast Severe Weather and Tornadoes ,Severe Storm,2009-04-09,2009-04-10,1859.2,6
Central Tornadoes and Severe Weather ,Severe Storm,2009-05-07,2009-05-09,1102.0,7
"Midwest, South and East Severe Weather ",Severe Storm,2009-06-09,2009-06-12,1726.5,0
Colorado Hail Storm ,Severe Storm,2009-07-20,2009-07-20,1300.0,0
Western Wildfires ,Wildfire,2009-06-01,2009-11-30,1315.3,10
Southwest/Great Plains Drought ,Drought,2009-01-01,2009-12-31,4539.7,0
Northeast Winter Storm ,Winter Storm,2010-02-09,2010-02-11,1029.4,3
Northeast Flooding ,Flooding,2010-03-01,2010-03-31,2323.7,11
East/South Flooding and Severe Weather ,Flooding,2010-04-30,2010-05-02,2855.4,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather ",Severe Storm,2010-05-10,2010-05-12,4200.6,3
Rockies/Central/East Severe Weather ,Severe Storm,2010-06-10,2010-06-15,1135.2,2
Midwest/Northeast Severe Storms and Flooding ,Severe Storm,2010-07-20,2010-07-23,1194.9,0
Arizona Severe Weather ,Severe Storm,2010-10-05,2010-10-06,4788.0,0
Groundhog Day Blizzard ,Winter Storm,2011-02-01,2011-02-03,2224.8,36
Midwest/Southeast Tornadoes ,Severe Storm,2011-04-04,2011-04-05,3441.2,9
Southeast/Midwest Tornadoes ,Severe Storm,2011-04-08,2011-04-11,2702.3,0
Midwest/Southeast Tornadoes ,Severe Storm,2011-04-14,2011-04-16,2553.3,38
Ohio Valley/South Tornadoes ,Severe Storm,2011-04-19,2011-04-20,1286.8,0
Southeast/Ohio Valley/Midwest Tornadoes ,Severe Storm,2011-04-25,2011-04-28,12675.2,321
Midwest/Southeast Tornadoes ,Severe Storm,2011-05-22,2011-05-27,11279.9,177
Mississippi River flooding ,Flooding,2011-04-01,2011-05-31,3702.8,7
Midwest/Southeast Tornadoes and Severe Weather ,Severe Storm,2011-06-18,2011-06-22,1906.1,3
Missouri River flooding ,Flooding,2011-05-01,2011-06-30,2482.7,5
Rockies and Midwest Severe Weather ,Severe Storm,2011-07-10,2011-07-14,1519.1,2
Midwest/Southeast Severe Weather ,Severe Storm,2011-08-17,2011-08-18,1427.9,0
Hurricane Irene ,Tropical Cyclone,2011-08-26,2011-08-28,16732.4,45
Southern Plains/Southwest Drought and Heatwave ,Drought,2011-03-01,2011-08-31,14836.3,95
Tropical Storm Lee ,Tropical Cyclone,2011-09-01,2011-09-05,3115.4,21
"Texas, New Mexico, Arizona Wildfires ",Wildfire,2011-06-01,2011-11-30,2257.7,5
Southeast/Ohio Valley Tornadoes ,Severe Storm,2012-03-02,2012-03-03,3785.8,42
Texas Tornadoes ,Severe Storm,2012-04-02,2012-04-03,1228.5,0
Midwest Tornadoes ,Severe Storm,2012-04-13,2012-04-14,1359.5,6
Midwest/Ohio Valley Severe Weather ,Severe Storm,2012-04-28,2012-05-01,3964.4,1
Southern Plains/Midwest/Northeast Severe Weather ,Severe Storm,2012-05-25,2012-05-30,2787.6,1
Rockies/Southwest Severe Weather ,Severe Storm,2012-06-06,2012-06-12,3143.3,0
Plains/East/Northeast Severe Weather ,Severe Storm,2012-06-29,2012-07-02,3495.1,28
Hurricane Isaac ,Tropical Cyclone,2012-08-26,2012-08-31,3343.9,9
Hurricane Sandy ,Tropical Cyclone,2012-10-30,2012-10-31,78697.7,159
Western Wildfires ,Wildfire,2012-06-01,2012-11-30,2103.6,8
U.S. Drought/Heatwave ,Drought,2012-01-01,2012-12-31,36304.4,123
Southern Severe Weather ,Severe Storm,2013-02-24,2013-02-25,1088.0,1
Southeast Severe Weather ,Severe Storm,2013-03-18,2013-03-18,2403.8,1
Midwest/Plains Severe Weather ,Severe Storm,2013-04-07,2013-04-11,1718.4,1
Illinois Flooding and Severe Weather ,Flooding,2013-04-16,2013-04-19,1281.7,4
Midwest/Plains/East Tornadoes ,Severe Storm,2013-05-18,2013-05-22,2856.3,27
Midwest/Plains/Northeast Tornadoes ,Severe Storm,2013-05-27,2013-05-31,2158.1,10
Midwest Severe Weather ,Severe Storm,2013-08-06,2013-08-07,1240.0,0
Colorado Flooding ,Flooding,2013-09-10,2013-09-16,1795.1,9
Ohio Valley Tornadoes ,Severe Storm,2013-11-17,2013-11-17,1297.8,8
Western/Plains Drought/Heatwave ,Drought,2013-03-01,2013-11-30,12407.1,53
Midwest/Southeast/Northeast Winter Storm ,Winter Storm,2014-01-05,2014-01-08,2542.1,16
Plains Severe Weather ,Severe Storm,2014-04-02,2014-04-03,1666.1,0
Central Severe Weather ,Severe Storm,2014-04-12,2014-04-13,1055.8,0
Midwest/Southeast/Northeast Tornadoes and Flooding ,Severe Storm,2014-04-27,2014-05-01,2031.2,33
Rockies/Midwest/Eastern Severe Weather ,Severe Storm,2014-05-18,2014-05-23,4344.5,0
Rockies/Central Plains Severe Weather ,Severe Storm,2014-06-03,2014-06-05,2245.5,2
Michigan and Northeast Flooding ,Flooding,2014-08-11,2014-08-13,1207.1,2
Rockies/Plains Severe Weather ,Severe Storm,2014-09-29,2014-10-02,1638.5,0
Western Drought ,Drought,2014-01-01,2014-12-31,4623.6,0
"Central and Eastern Winter storm, Cold Wave ",Winter Storm,2015-02-14,2015-02-20,3465.7,30
Midwest/Ohio Valley Severe Weather ,Severe Storm,2015-04-07,2015-04-09,1820.3,2
South/Southeast Severe Weather ,Severe Storm,2015-04-18,2015-04-20,1502.2,0
South and Southeast Severe Weather ,Severe Storm,2015-04-24,2015-04-25,1095.0,3
Southern Plains Tornadoes ,Severe Storm,2015-05-06,2015-05-10,1488.3,4
Texas and Oklahoma Flooding and Severe Weather ,Flooding,2015-05-23,2015-05-26,2925.5,31
Central and Northeast Severe Weather ,Severe Storm,2015-06-21,2015-06-25,1371.1,1
South Carolina and East Coast Flooding ,Flooding,2015-10-01,2015-10-05,2337.9,25
Western and Alaskan Wildfires ,Wildfire,2015-06-01,2015-11-30,3542.7,12
Texas Tornadoes and Midwest Flooding ,Severe Storm,2015-12-26,2015-12-29,2295.5,50
Western Drought ,Drought,2015-01-01,2015-12-31,5225.4,0
Southeast and Eastern Tornadoes ,Severe Storm,2016-02-22,2016-02-24,1196.3,10
Texas and Louisiana Flooding ,Flooding,2016-03-08,2016-03-12,2639.0,5
Southern Severe Weather ,Severe Storm,2016-03-17,2016-03-18,1391.8,1
North Texas Hail Storm ,Severe Storm,2016-03-23,2016-03-24,2374.5,0
North/Central Texas Hail Storm ,Severe Storm,2016-04-10,2016-04-12,4023.4,0
Houston Flooding ,Flooding,2016-04-17,2016-04-18,3077.4,8
South/Southeast Tornadoes ,Severe Storm,2016-04-26,2016-05-02,2753.8,6
Plains Tornadoes and Central Severe Weather ,Severe Storm,2016-05-08,2016-05-11,1977.6,2
Rockies/Central Tornadoes and Severe Weather ,Severe Storm,2016-05-21,2016-05-26,1318.3,0
West Virginia Flooding and Ohio Valley Tornadoes ,Flooding,2016-06-22,2016-06-24,1114.1,23
Rockies and Northeast Severe Weather ,Severe Storm,2016-07-28,2016-07-30,1685.6,0
Louisiana Flooding ,Flooding,2016-08-12,2016-08-15,11500.0,13
Hurricane Matthew ,Tropical Cyclone,2016-10-08,2016-10-12,11500.0,49
West/Northeast/Southeast Drought ,Drought,2016-01-01,2016-12-31,3960.2,0
Western/Southeast Wildfires ,Wildfire,2016-06-01,2016-12-31,2754.5,21
Southern Tornado Outbreak and Western Storms ,Severe Storm,2017-01-20,2017-01-22,1248.8,24
California Flooding ,Flooding,2017-02-08,2017-02-22,1695.0,5
Central/Southeast Tornado Outbreak ,Severe Storm,2017-02-28,2017-03-01,2040.9,6
Midwest Tornado Outbreak ,Severe Storm,2017-03-06,2017-03-08,2459.1,2
Southeast Freeze ,Freeze,2017-03-14,2017-03-16,1130.0,0
South/Southeast Severe Weather ,Severe Storm,2017-03-26,2017-03-28,3045.4,0
Missouri and Arkansas Flooding and Central Severe Weather ,Flooding,2017-04-25,2017-05-07,1874.8,20
Colorado Hail Storm and Central Severe Weather ,Severe Storm,2017-05-08,2017-05-11,3785.5,0
Minnesota Hail Storm and Upper Midwest Severe Weather ,Severe Storm,2017-06-09,2017-06-11,2655.5,0
Midwest Severe Weather ,Severe Storm,2017-06-12,2017-06-16,1705.3,0
Midwest Severe Weather ,Severe Storm,2017-06-27,2017-06-29,1610.3,0
Hurricane Harvey ,Tropical Cyclone,2017-08-25,2017-08-31,138750.0,89
Hurricane Irma ,Tropical Cyclone,2017-09-06,2017-09-12,55500.0,97
Hurricane Maria ,Tropical Cyclone,2017-09-19,2017-09-21,99900.0,2981
"North Dakota, South Dakota and Montana Drought ",Drought,2017-03-01,2017-12-31,2775.0,0
"Western Wildfires, California Firestorm ",Wildfire,2017-06-01,2017-12-31,19985.6,54
Central and Eastern Winter Storm ,Winter Storm,2018-01-03,2018-01-05,1147.3,22
Northeast Winter Storm ,Winter Storm,2018-03-01,2018-03-03,2413.4,9
Southeastern Tornadoes and Severe Weather ,Severe Storm,2018-03-18,2018-03-21,1597.2,0
Southern and Eastern Tornadoes and Severe Weather ,Severe Storm,2018-04-13,2018-04-16,1436.9,3
Central and Northeastern Severe Weather ,Severe Storm,2018-05-01,2018-05-04,1529.0,0
Central and Eastern Severe Weather ,Severe Storm,2018-05-13,2018-05-15,1493.3,5
Texas Hail Storm ,Severe Storm,2018-06-06,2018-06-06,1417.0,0
Colorado Hail Storm ,Severe Storm,2018-06-18,2018-06-19,2423.1,0
Central and Eastern Tornadoes and Severe Weather ,Severe Storm,2018-07-19,2018-07-22,1727.9,0
Rockies and Plains Hail Storms ,Severe Storm,2018-08-06,2018-08-07,1107.0,0
Hurricane Florence ,Tropical Cyclone,2018-09-13,2018-09-16,25920.0,53
Hurricane Michael ,Tropical Cyclone,2018-10-10,2018-10-11,26973.0,49
Southwest/Southern Plains Drought ,Drought,2018-06-01,2018-12-30,3259.2,0
"Western Wildfires, California Firestorm ",Wildfire,2018-06-01,2018-12-31,26160.0,106
"Southeast, Ohio Valley and Northeast Severe Weather ",Severe Storm,2019-02-23,2019-02-25,1336.4,2
Texas Hail Storm ,Severe Storm,2019-03-22,2019-03-24,1657.8,0
Missouri River and North Central Flooding ,Flooding,2019-03-14,2019-03-31,11585.1,3
Southern and Eastern Tornadoes and Severe Weather ,Severe Storm,2019-04-13,2019-04-14,1339.7,7
South and Southeast Severe Weather ,Severe Storm,2019-05-07,2019-05-13,1620.2,0
Central Severe Weather ,Severe Storm,2019-05-16,2019-05-18,1041.1,0
"Rockies, Central and Northeast Tornadoes and Severe Weather ",Severe Storm,2019-05-26,2019-05-29,4812.9,3
Arkansas River Flooding ,Flooding,2019-05-20,2019-06-14,3236.8,5
Colorado Hail Storms ,Severe Storm,2019-07-04,2019-07-05,1078.6,0
"Mississippi River, Midwest and Southern Flooding ",Flooding,2019-03-15,2019-07-31,6662.5,4
Hurricane Dorian ,Tropical Cyclone,2019-08-28,2019-09-06,1722.7,10
Tropical Storm Imelda ,Tropical Cyclone,2019-09-17,2019-09-21,5350.0,5
Texas Tornadoes and Central Severe Weather ,Severe Storm,2019-10-20,2019-10-20,1821.2,2
California and Alaska Wildfires ,Wildfire,2019-06-01,2019-11-30,4815.0,3
Southeast Tornadoes and Northern Storms and Flooding ,Severe Storm,2020-01-10,2020-01-12,1217.9,10
"South, East and Northeast Severe Weather ",Severe Storm,2020-02-05,2020-02-07,1331.4,3
Tennessee Tornadoes and Southeast Severe Weather ,Severe Storm,2020-03-02,2020-03-04,2476.2,25
Midwest and Ohio Valley Severe Weather ,Severe Storm,2020-03-27,2020-03-28,2711.5,0
North Central and Ohio Valley Hail Storms and Severe Weather ,Severe Storm,2020-04-07,2020-04-08,3083.0,0
Southeast and Eastern Tornado Outbreak ,Severe Storm,2020-04-12,2020-04-13,3685.3,35
Southern Severe Weather ,Severe Storm,2020-04-21,2020-04-23,1444.7,3
"Central, Southern and Eastern Severe Weather ",Severe Storm,2020-04-27,2020-04-30,1098.9,1
Central and Eastern Severe Weather ,Severe Storm,2020-05-03,2020-05-05,2261.0,2
"South, Central and Eastern Severe Weather ",Severe Storm,2020-05-20,2020-05-23,1694.8,2
South Texas Hail Storms ,Severe Storm,2020-05-27,2020-05-27,1498.0,0
Central Severe Weather ,Severe Storm,2020-07-10,2020-07-11,1267.8,0
Hurricane Hanna ,Tropical Cyclone,2020-07-25,2020-07-26,1128.8,0
Hurricane Isaias ,Tropical Cyclone,2020-08-03,2020-08-04,4995.1,16
Central Severe Weather - Derecho ,Severe Storm,2020-08-10,2020-08-10,11688.6,4
Hurricane Laura ,Tropical Cyclone,2020-08-27,2020-08-28,19939.6,42
Hurricane Sally ,Tropical Cyclone,2020-09-15,2020-09-17,7637.8,5
Hurricane Delta ,Tropical Cyclone,2020-10-09,2020-10-11,3010.6,5
Hurricane Zeta ,Tropical Cyclone,2020-10-28,2020-10-29,4569.7,6
Tropical Storm Eta ,Tropical Cyclone,2020-11-08,2020-11-12,1533.1,12
Western/Central Drought and Heatwave ,Drought,2020-06-01,2020-12-30,4720.1,45
"Western Wildfires - California, Oregon, Washington Firestorms ",Wildfire,2020-08-01,2020-12-30,17272.5,46
California Flooding and Severe Weather ,Flooding,2021-01-24,2021-01-29,1149.8,2
"Northwest, Central, Eastern Winter Storm and Cold Wave ",Winter Storm,2021-02-10,2021-02-19,20775.0,172
Southeast Tornadoes and Severe Weather ,Severe Storm,2021-03-24,2021-03-25,1727.5,6
Eastern Severe Weather ,Severe Storm,2021-03-27,2021-03-28,1386.7,8
Texas Hail Storms ,Severe Storm,2021-04-12,2021-04-15,1519.3,0
Texas and Oklahoma Severe Weather ,Severe Storm,2021-04-27,2021-04-28,3243.5,0
Southern Tornadoes and Southeast Severe Weather ,Severe Storm,2021-05-02,2021-05-04,1289.2,4
Louisiana Flooding ,Flooding,2021-05-15,2021-05-19,1358.5,5
Ohio Valley Hail Storms ,Severe Storm,2021-06-17,2021-06-18,1724.3,0
Central Severe Storms ,Severe Storm,2021-06-24,2021-06-26,1265.6,0
Tropical Storm Elsa ,Tropical Cyclone,2021-07-07,2021-07-09,1213.0,1
Central Severe Storms ,Severe Storm,2021-07-08,2021-07-11,1080.0,0
North Central Severe Weather ,Severe Storm,2021-08-10,2021-08-13,1284.0,2
Tropical Storm Fred ,Tropical Cyclone,2021-08-16,2021-08-18,1277.0,7
Hurricane Ida ,Tropical Cyclone,2021-08-29,2021-09-01,64460.5,96
Hurricane Nicholas ,Tropical Cyclone,2021-09-14,2021-09-18,0.0,0
Western Drought and Heatwave ,Drought,2021-01-01,2021-09-30,0.0,229
Western Wildfires ,Wildfire,2021-06-01,2021-09-30,0.0,6
